cycle,subject,measure,value
0.025,boy1,Hip Angle,37.0
0.025,boy1,Knee Angle,10.0
0.025,boy2,Hip Angle,47.0
0.025,boy2,Knee Angle,16.0
0.025,boy3,Hip Angle,46.0
0.025,boy3,Knee Angle,18.0
0.025,boy4,Hip Angle,37.0
0.025,boy4,Knee Angle,5.0
0.025,boy5,Hip Angle,20.0
0.025,boy5,Knee Angle,2.0
0.025,boy6,Hip Angle,57.0
0.025,boy6,Knee Angle,15.0
0.025,boy7,Hip Angle,46.0
0.025,boy7,Knee Angle,13.0
0.025,boy8,Hip Angle,46.0
0.025,boy8,Knee Angle,14.0
0.025,boy9,Hip Angle,46.0
0.025,boy9,Knee Angle,15.0
0.025,boy10,Hip Angle,35.0
0.025,boy10,Knee Angle,9.0
0.025,boy11,Hip Angle,38.0
0.025,boy11,Knee Angle,13.0
0.025,boy12,Hip Angle,35.0
0.025,boy12,Knee Angle,7.0
0.025,boy13,Hip Angle,34.0
0.025,boy13,Knee Angle,9.0
0.025,boy14,Hip Angle,43.0
0.025,boy14,Knee Angle,15.0
0.025,boy15,Hip Angle,43.0
0.025,boy15,Knee Angle,6.0
0.025,boy16,Hip Angle,40.0
0.025,boy16,Knee Angle,11.0
0.025,boy17,Hip Angle,51.0
0.025,boy17,Knee Angle,24.0
0.025,boy18,Hip Angle,52.0
0.025,boy18,Knee Angle,16.0
0.025,boy19,Hip Angle,36.0
0.025,boy19,Knee Angle,16.0
0.025,boy20,Hip Angle,35.0
0.025,boy20,Knee Angle,7.0
0.025,boy21,Hip Angle,46.0
0.025,boy21,Knee Angle,21.0
0.025,boy22,Hip Angle,43.0
0.025,boy22,Knee Angle,11.0
0.025,boy23,Hip Angle,55.0
0.025,boy23,Knee Angle,12.0
0.025,boy24,Hip Angle,39.0
0.025,boy24,Knee Angle,8.0
0.025,boy25,Hip Angle,37.0
0.025,boy25,Knee Angle,11.0
0.025,boy26,Hip Angle,36.0
0.025,boy26,Knee Angle,16.0
0.025,boy27,Hip Angle,36.0
0.025,boy27,Knee Angle,19.0
0.025,boy28,Hip Angle,42.0
0.025,boy28,Knee Angle,13.0
0.025,boy29,Hip Angle,38.0
0.025,boy29,Knee Angle,11.0
0.025,boy30,Hip Angle,46.0
0.025,boy30,Knee Angle,17.0
0.025,boy31,Hip Angle,54.0
0.025,boy31,Knee Angle,20.0
0.025,boy32,Hip Angle,52.0
0.025,boy32,Knee Angle,18.0
0.025,boy33,Hip Angle,32.0
0.025,boy33,Knee Angle,9.0
0.025,boy34,Hip Angle,46.0
0.025,boy34,Knee Angle,8.0
0.025,boy35,Hip Angle,46.0
0.025,boy35,Knee Angle,9.0
0.025,boy36,Hip Angle,48.0
0.025,boy36,Knee Angle,13.0
0.025,boy37,Hip Angle,44.0
0.025,boy37,Knee Angle,19.0
0.025,boy38,Hip Angle,55.0
0.025,boy38,Knee Angle,16.0
0.025,boy39,Hip Angle,48.0
0.025,boy39,Knee Angle,14.0
0.075,boy1,Hip Angle,36.0
0.075,boy1,Knee Angle,15.0
0.075,boy2,Hip Angle,46.0
0.075,boy2,Knee Angle,25.0
0.075,boy3,Hip Angle,44.0
0.075,boy3,Knee Angle,27.0
0.075,boy4,Hip Angle,36.0
0.075,boy4,Knee Angle,14.0
0.075,boy5,Hip Angle,18.0
0.075,boy5,Knee Angle,6.0
0.075,boy6,Hip Angle,48.0
0.075,boy6,Knee Angle,17.0
0.075,boy7,Hip Angle,38.0
0.075,boy7,Knee Angle,16.0
0.075,boy8,Hip Angle,46.0
0.075,boy8,Knee Angle,17.0
0.075,boy9,Hip Angle,42.0
0.075,boy9,Knee Angle,20.0
0.075,boy10,Hip Angle,34.0
0.075,boy10,Knee Angle,22.0
0.075,boy11,Hip Angle,37.0
0.075,boy11,Knee Angle,24.0
0.075,boy12,Hip Angle,31.0
0.075,boy12,Knee Angle,8.0
0.075,boy13,Hip Angle,31.0
0.075,boy13,Knee Angle,14.0
0.075,boy14,Hip Angle,41.0
0.075,boy14,Knee Angle,20.0
0.075,boy15,Hip Angle,37.0
0.075,boy15,Knee Angle,11.0
0.075,boy16,Hip Angle,41.0
0.075,boy16,Knee Angle,19.0
0.075,boy17,Hip Angle,49.0
0.075,boy17,Knee Angle,32.0
0.075,boy18,Hip Angle,46.0
0.075,boy18,Knee Angle,20.0
0.075,boy19,Hip Angle,33.0
0.075,boy19,Knee Angle,20.0
0.075,boy20,Hip Angle,37.0
0.075,boy20,Knee Angle,13.0
0.075,boy21,Hip Angle,38.0
0.075,boy21,Knee Angle,24.0
0.075,boy22,Hip Angle,41.0
0.075,boy22,Knee Angle,14.0
0.075,boy23,Hip Angle,51.0
0.075,boy23,Knee Angle,17.0
0.075,boy24,Hip Angle,38.0
0.075,boy24,Knee Angle,12.0
0.075,boy25,Hip Angle,34.0
0.075,boy25,Knee Angle,20.0
0.075,boy26,Hip Angle,33.0
0.075,boy26,Knee Angle,20.0
0.075,boy27,Hip Angle,33.0
0.075,boy27,Knee Angle,26.0
0.075,boy28,Hip Angle,40.0
0.075,boy28,Knee Angle,23.0
0.075,boy29,Hip Angle,34.0
0.075,boy29,Knee Angle,15.0
0.075,boy30,Hip Angle,47.0
0.075,boy30,Knee Angle,25.0
0.075,boy31,Hip Angle,48.0
0.075,boy31,Knee Angle,20.0
0.075,boy32,Hip Angle,44.0
0.075,boy32,Knee Angle,18.0
0.075,boy33,Hip Angle,28.0
0.075,boy33,Knee Angle,12.0
0.075,boy34,Hip Angle,41.0
0.075,boy34,Knee Angle,10.0
0.075,boy35,Hip Angle,44.0
0.075,boy35,Knee Angle,18.0
0.075,boy36,Hip Angle,42.0
0.075,boy36,Knee Angle,18.0
0.075,boy37,Hip Angle,41.0
0.075,boy37,Knee Angle,23.0
0.075,boy38,Hip Angle,56.0
0.075,boy38,Knee Angle,23.0
0.075,boy39,Hip Angle,50.0
0.075,boy39,Knee Angle,25.0
0.125,boy1,Hip Angle,33.0
0.125,boy1,Knee Angle,18.0
0.125,boy2,Hip Angle,42.0
0.125,boy2,Knee Angle,28.0
0.125,boy3,Hip Angle,39.0
0.125,boy3,Knee Angle,32.0
0.125,boy4,Hip Angle,27.0
0.125,boy4,Knee Angle,16.0
0.125,boy5,Hip Angle,11.0
0.125,boy5,Knee Angle,6.0
0.125,boy6,Hip Angle,44.0
0.125,boy6,Knee Angle,23.0
0.125,boy7,Hip Angle,33.0
0.125,boy7,Knee Angle,22.0
0.125,boy8,Hip Angle,43.0
0.125,boy8,Knee Angle,18.0
0.125,boy9,Hip Angle,37.0
0.125,boy9,Knee Angle,23.0
0.125,boy10,Hip Angle,29.0
0.125,boy10,Knee Angle,25.0
0.125,boy11,Hip Angle,33.0
0.125,boy11,Knee Angle,27.0
0.125,boy12,Hip Angle,29.0
0.125,boy12,Knee Angle,11.0
0.125,boy13,Hip Angle,27.0
0.125,boy13,Knee Angle,16.0
0.125,boy14,Hip Angle,36.0
0.125,boy14,Knee Angle,22.0
0.125,boy15,Hip Angle,35.0
0.125,boy15,Knee Angle,20.0
0.125,boy16,Hip Angle,36.0
0.125,boy16,Knee Angle,30.0
0.125,boy17,Hip Angle,45.0
0.125,boy17,Knee Angle,35.0
0.125,boy18,Hip Angle,41.0
0.125,boy18,Knee Angle,21.0
0.125,boy19,Hip Angle,28.0
0.125,boy19,Knee Angle,22.0
0.125,boy20,Hip Angle,33.0
0.125,boy20,Knee Angle,14.0
0.125,boy21,Hip Angle,30.0
0.125,boy21,Knee Angle,25.0
0.125,boy22,Hip Angle,37.0
0.125,boy22,Knee Angle,14.0
0.125,boy23,Hip Angle,47.0
0.125,boy23,Knee Angle,20.0
0.125,boy24,Hip Angle,31.0
0.125,boy24,Knee Angle,14.0
0.125,boy25,Hip Angle,30.0
0.125,boy25,Knee Angle,22.0
0.125,boy26,Hip Angle,28.0
0.125,boy26,Knee Angle,22.0
0.125,boy27,Hip Angle,30.0
0.125,boy27,Knee Angle,28.0
0.125,boy28,Hip Angle,40.0
0.125,boy28,Knee Angle,30.0
0.125,boy29,Hip Angle,30.0
0.125,boy29,Knee Angle,19.0
0.125,boy30,Hip Angle,44.0
0.125,boy30,Knee Angle,30.0
0.125,boy31,Hip Angle,44.0
0.125,boy31,Knee Angle,22.0
0.125,boy32,Hip Angle,44.0
0.125,boy32,Knee Angle,25.0
0.125,boy33,Hip Angle,26.0
0.125,boy33,Knee Angle,16.0
0.125,boy34,Hip Angle,38.0
0.125,boy34,Knee Angle,17.0
0.125,boy35,Hip Angle,40.0
0.125,boy35,Knee Angle,19.0
0.125,boy36,Hip Angle,42.0
0.125,boy36,Knee Angle,27.0
0.125,boy37,Hip Angle,38.0
0.125,boy37,Knee Angle,26.0
0.125,boy38,Hip Angle,51.0
0.125,boy38,Knee Angle,28.0
0.125,boy39,Hip Angle,47.0
0.125,boy39,Knee Angle,32.0
0.175,boy1,Hip Angle,29.0
0.175,boy1,Knee Angle,18.0
0.175,boy2,Hip Angle,34.0
0.175,boy2,Knee Angle,25.0
0.175,boy3,Hip Angle,34.0
0.175,boy3,Knee Angle,32.0
0.175,boy4,Hip Angle,20.0
0.175,boy4,Knee Angle,17.0
0.175,boy5,Hip Angle,8.0
0.175,boy5,Knee Angle,6.0
0.175,boy6,Hip Angle,35.0
0.175,boy6,Knee Angle,23.0
0.175,boy7,Hip Angle,25.0
0.175,boy7,Knee Angle,17.0
0.175,boy8,Hip Angle,40.0
0.175,boy8,Knee Angle,19.0
0.175,boy9,Hip Angle,34.0
0.175,boy9,Knee Angle,26.0
0.175,boy10,Hip Angle,28.0
0.175,boy10,Knee Angle,21.0
0.175,boy11,Hip Angle,29.0
0.175,boy11,Knee Angle,23.0
0.175,boy12,Hip Angle,26.0
0.175,boy12,Knee Angle,12.0
0.175,boy13,Hip Angle,23.0
0.175,boy13,Knee Angle,15.0
0.175,boy14,Hip Angle,31.0
0.175,boy14,Knee Angle,22.0
0.175,boy15,Hip Angle,28.0
0.175,boy15,Knee Angle,18.0
0.175,boy16,Hip Angle,32.0
0.175,boy16,Knee Angle,28.0
0.175,boy17,Hip Angle,39.0
0.175,boy17,Knee Angle,33.0
0.175,boy18,Hip Angle,35.0
0.175,boy18,Knee Angle,20.0
0.175,boy19,Hip Angle,22.0
0.175,boy19,Knee Angle,21.0
0.175,boy20,Hip Angle,27.0
0.175,boy20,Knee Angle,17.0
0.175,boy21,Hip Angle,23.0
0.175,boy21,Knee Angle,21.0
0.175,boy22,Hip Angle,30.0
0.175,boy22,Knee Angle,11.0
0.175,boy23,Hip Angle,41.0
0.175,boy23,Knee Angle,20.0
0.175,boy24,Hip Angle,27.0
0.175,boy24,Knee Angle,13.0
0.175,boy25,Hip Angle,27.0
0.175,boy25,Knee Angle,21.0
0.175,boy26,Hip Angle,22.0
0.175,boy26,Knee Angle,21.0
0.175,boy27,Hip Angle,28.0
0.175,boy27,Knee Angle,28.0
0.175,boy28,Hip Angle,34.0
0.175,boy28,Knee Angle,28.0
0.175,boy29,Hip Angle,23.0
0.175,boy29,Knee Angle,20.0
0.175,boy30,Hip Angle,37.0
0.175,boy30,Knee Angle,30.0
0.175,boy31,Hip Angle,37.0
0.175,boy31,Knee Angle,16.0
0.175,boy32,Hip Angle,33.0
0.175,boy32,Knee Angle,23.0
0.175,boy33,Hip Angle,22.0
0.175,boy33,Knee Angle,15.0
0.175,boy34,Hip Angle,31.0
0.175,boy34,Knee Angle,16.0
0.175,boy35,Hip Angle,35.0
0.175,boy35,Knee Angle,19.0
0.175,boy36,Hip Angle,35.0
0.175,boy36,Knee Angle,26.0
0.175,boy37,Hip Angle,32.0
