seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
1,gp,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.0059155542236626,0.0079721004934874,0.0892866199017939,lambda_projected_optimum,blf_gp
1,gp,1,2,15,80.0,10.0,90.0,11,73.33333333333333,0.0068995173401231,0.0078923567735337,0.0888389372602674,lambda_projected_optimum,blf_gp
1,gp,1,3,15,80.0,10.0,90.0,7,46.66666666666666,0.0216999942041079,0.0213842136296976,0.1462334217260119,lambda_projected_optimum,blf_gp
1,gp,2,1,25,80.0,10.0,90.0,24,96.0,0.0110226548905325,0.006836250169344,0.0826816192956092,lambda_projected_optimum,blf_gp
1,gp,2,2,25,80.0,10.0,90.0,11,44.0,0.06096961254751,0.0306327498127294,0.1750221409214545,lambda_projected_optimum,blf_gp
1,gp,2,3,25,80.0,10.0,90.0,10,40.0,0.0603848414626246,0.0317181686155477,0.1780959533946455,lambda_projected_optimum,blf_gp
1,gp,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.0309768047849745,0.0309944458086068,0.1760523950663746,blambda_actual,blf_gp
1,gp,1,2,15,80.0,10.0,90.0,10,66.66666666666667,0.0110676940928932,0.0117052889630527,0.1081909837419584,blambda_actual,blf_gp
1,gp,1,3,15,80.0,10.0,90.0,5,33.333333333333336,0.0835269141877482,0.0796925057576879,0.2822986109737134,blambda_actual,blf_gp
1,gp,2,1,25,80.0,10.0,90.0,14,56.0,0.0584305593933738,0.0300729935918224,0.1734156670887104,blambda_actual,blf_gp
1,gp,2,2,25,80.0,10.0,90.0,10,40.0,0.0739900324674551,0.0374773185453603,0.1935905951883003,blambda_actual,blf_gp
1,gp,2,3,25,80.0,10.0,90.0,16,64.0,0.046094726784768,0.0225011802496895,0.1500039341140411,blambda_actual,blf_gp
1,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.0095264254147272,0.008891850929276,0.0942966114411118,lambda_projected_optimum,blf_gp
1,alt_fourier,1,2,15,80.0,10.0,90.0,7,46.66666666666666,0.039540971325845,0.0372404842631575,0.1929779372445397,lambda_projected_optimum,blf_gp
1,alt_fourier,1,3,15,80.0,10.0,90.0,7,46.66666666666666,0.0620010728448304,0.0579910465969818,0.2408133023671696,lambda_projected_optimum,blf_gp
1,alt_fourier,2,1,25,80.0,10.0,90.0,25,100.0,0.0473162343781097,0.0230123805617104,0.1516983208928511,lambda_projected_optimum,blf_gp
1,alt_fourier,2,2,25,80.0,10.0,90.0,15,60.0,0.0539193335376407,0.0264298573254725,0.1625726216971129,lambda_projected_optimum,blf_gp
1,alt_fourier,2,3,25,80.0,10.0,90.0,22,88.0,0.0511406278169287,0.024598937357574,0.1568404837966718,lambda_projected_optimum,blf_gp
1,alt_fourier,1,1,15,80.0,10.0,90.0,13,86.66666666666667,0.0282172680258251,0.0385776635200342,0.1964119739731625,blambda_actual,blf_gp
1,alt_fourier,1,2,15,80.0,10.0,90.0,6,40.0,0.0720813174771069,0.0679270240117957,0.2606281335769331,blambda_actual,blf_gp
1,alt_fourier,1,3,15,80.0,10.0,90.0,6,40.0,0.0519842791756856,0.0519971478329167,0.2280288311440393,blambda_actual,blf_gp
1,alt_fourier,2,1,25,80.0,10.0,90.0,25,100.0,0.0519945679065701,0.0252239834909405,0.1588206015948199,blambda_actual,blf_gp
1,alt_fourier,2,2,25,80.0,10.0,90.0,18,72.0,0.0508369674085035,0.0262966496204708,0.1621624174106654,blambda_actual,blf_gp
1,alt_fourier,2,3,25,80.0,10.0,90.0,19,76.0,0.080030168074587,0.0414393401531931,0.2035665496912327,blambda_actual,blf_gp
1,alt_bspline,1,1,15,80.0,10.0,90.0,15,100.0,0.0059893166095964,0.0060713459728394,0.0779188422195775,lambda_projected_optimum,blf_gp
1,alt_bspline,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0030994713056256,0.0032020866323604,0.0565869828879437,lambda_projected_optimum,blf_gp
1,alt_bspline,1,3,15,80.0,10.0,90.0,13,86.66666666666667,0.0182843626227526,0.0178629948480457,0.1336525153075905,lambda_projected_optimum,blf_gp
1,alt_bspline,2,1,25,80.0,10.0,90.0,23,92.0,0.0177745266452685,0.0089227731565519,0.0944604316978909,lambda_projected_optimum,blf_gp
1,alt_bspline,2,2,25,80.0,10.0,90.0,21,84.0,0.0211777696497222,0.010238179558637,0.1011838898176832,lambda_projected_optimum,blf_gp
1,alt_bspline,2,3,25,80.0,10.0,90.0,19,76.0,0.0529338360610637,0.0268008767069479,0.163709733085568,lambda_projected_optimum,blf_gp
1,alt_bspline,1,1,15,80.0,10.0,90.0,15,100.0,0.0042960692455042,0.0046062069201286,0.0678690424282578,blambda_actual,blf_gp
1,alt_bspline,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0035270356236027,0.0036922477503296,0.0607638687900108,blambda_actual,blf_gp
1,alt_bspline,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0100293504823997,0.010011580087059,0.1000578836826918,blambda_actual,blf_gp
1,alt_bspline,2,1,25,80.0,10.0,90.0,23,92.0,0.0162781392104514,0.0083310628748666,0.0912746562571817,blambda_actual,blf_gp
1,alt_bspline,2,2,25,80.0,10.0,90.0,23,92.0,0.0153540146292503,0.0073714427813068,0.0858571067606337,blambda_actual,blf_gp
1,alt_bspline,2,3,25,80.0,10.0,90.0,21,84.0,0.0373202924648752,0.0191509371599094,0.1383869110859457,blambda_actual,blf_gp
2,gp,1,1,15,80.0,10.0,90.0,15,100.0,0.0024997007456597,0.0024896686651274,0.0498965796936766,lambda_projected_optimum,blf_gp
2,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.0272408007562507,0.027050143351118,0.1644692778336369,lambda_projected_optimum,blf_gp
2,gp,1,3,15,80.0,10.0,90.0,15,100.0,0.0032497749616411,0.0035962678878377,0.0599688910005658,lambda_projected_optimum,blf_gp
