seed,model_tag,mode,factor,n_coords,ci_level,lower_q,upper_q,within_count,coverage_pct,quad_error,mse,rmse,eval_version,method
51,gp,1,1,15,80.0,10.0,90.0,14,93.33333333333331,0.1699763040236374,0.1599433909664148,0.3999292324479606,lambda_projected_optimum,blf_gp
51,gp,1,2,15,80.0,10.0,90.0,12,80.0,0.0634887375774523,0.0736077167572632,0.2713074211245671,lambda_projected_optimum,blf_gp
51,gp,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0453693668774216,0.0467353351331366,0.2161835681385998,lambda_projected_optimum,blf_gp
51,gp,2,1,25,80.0,10.0,90.0,14,56.0,1.1744563442879736,0.5871950926983831,0.7662865604317899,lambda_projected_optimum,blf_gp
51,gp,2,2,25,80.0,10.0,90.0,19,76.0,0.6088454653684074,0.298662086588892,0.546499850493019,lambda_projected_optimum,blf_gp
51,gp,2,3,25,80.0,10.0,90.0,22,88.0,0.1671664025309512,0.0807186821372522,0.2841103344428925,lambda_projected_optimum,blf_gp
51,gp,1,1,15,80.0,10.0,90.0,12,80.0,0.1984668551157236,0.1862573266565116,0.4315754008936464,blambda_actual,blf_gp
51,gp,1,2,15,80.0,10.0,90.0,8,53.333333333333336,0.3316644278805191,0.3479203928131452,0.5898477708808818,blambda_actual,blf_gp
51,gp,1,3,15,80.0,10.0,90.0,8,53.333333333333336,0.576125829980794,0.5378412504171521,0.7333766088560175,blambda_actual,blf_gp
51,gp,2,1,25,80.0,10.0,90.0,13,52.0,1.3880104492645362,0.6942584588376474,0.8332217344966749,blambda_actual,blf_gp
51,gp,2,2,25,80.0,10.0,90.0,3,12.0,7.091994127070233,3.53033766877235,1.8789192821333087,blambda_actual,blf_gp
51,gp,2,3,25,80.0,10.0,90.0,6,24.0,3.302310343832113,1.656890094549646,1.2872024295151272,blambda_actual,blf_gp
51,alt_fourier,1,1,15,80.0,10.0,90.0,15,100.0,0.2163172999704156,0.2128265618417266,0.4613312929357021,lambda_projected_optimum,blf_gp
51,alt_fourier,1,2,15,80.0,10.0,90.0,14,93.33333333333331,0.0380505518323627,0.0373466803856381,0.193252892308597,lambda_projected_optimum,blf_gp
51,alt_fourier,1,3,15,80.0,10.0,90.0,15,100.0,0.1337802045082215,0.1358258600633267,0.3685456010635953,lambda_projected_optimum,blf_gp
51,alt_fourier,2,1,25,80.0,10.0,90.0,23,92.0,0.5582575929196494,0.2690677829447592,0.5187174403707274,lambda_projected_optimum,blf_gp
51,alt_fourier,2,2,25,80.0,10.0,90.0,21,84.0,0.1519672102815636,0.0730439229043545,0.2702663924803721,lambda_projected_optimum,blf_gp
51,alt_fourier,2,3,25,80.0,10.0,90.0,23,92.0,0.4478102542523873,0.2205770253375939,0.4696562842522113,lambda_projected_optimum,blf_gp
51,alt_fourier,1,1,15,80.0,10.0,90.0,7,46.66666666666666,0.8025661994577671,0.7576950955365805,0.870456831518129,blambda_actual,blf_gp
51,alt_fourier,1,2,15,80.0,10.0,90.0,7,46.66666666666666,0.8886573725781829,0.8321932636074071,0.9122462735508472,blambda_actual,blf_gp
51,alt_fourier,1,3,15,80.0,10.0,90.0,3,20.0,2.07342839776409,2.0185253800799816,1.42074817616634,blambda_actual,blf_gp
51,alt_fourier,2,1,25,80.0,10.0,90.0,7,28.0,7.967692981464085,4.015772820507944,2.003939325555528,blambda_actual,blf_gp
51,alt_fourier,2,2,25,80.0,10.0,90.0,3,12.0,6.556106480221362,3.2778012976619397,1.810469910730896,blambda_actual,blf_gp
51,alt_fourier,2,3,25,80.0,10.0,90.0,5,20.0,7.016354007543045,3.376011470090972,1.8373925737552583,blambda_actual,blf_gp
51,alt_bspline,1,1,15,80.0,10.0,90.0,8,53.333333333333336,0.1321757156326481,0.1419603034847077,0.3767761981398344,lambda_projected_optimum,blf_gp
51,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0665281319220603,0.0635064108047146,0.2520047832972911,lambda_projected_optimum,blf_gp
51,alt_bspline,1,3,15,80.0,10.0,90.0,15,100.0,0.0383581338851738,0.037831309884156,0.1945027246188495,lambda_projected_optimum,blf_gp
51,alt_bspline,2,1,25,80.0,10.0,90.0,23,92.0,0.1036241361969681,0.0499790335721247,0.2235599104761959,lambda_projected_optimum,blf_gp
51,alt_bspline,2,2,25,80.0,10.0,90.0,17,68.0,0.5491973108555829,0.2684665833108469,0.5181376103998309,lambda_projected_optimum,blf_gp
51,alt_bspline,2,3,25,80.0,10.0,90.0,23,92.0,0.3989274914622424,0.1951495853977864,0.4417573829578702,lambda_projected_optimum,blf_gp
51,alt_bspline,1,1,15,80.0,10.0,90.0,6,40.0,0.2111809167675254,0.2217791260435766,0.4709343118138416,blambda_actual,blf_gp
51,alt_bspline,1,2,15,80.0,10.0,90.0,15,100.0,0.0707967664295222,0.068410351553263,0.2615537259403181,blambda_actual,blf_gp
51,alt_bspline,1,3,15,80.0,10.0,90.0,13,86.66666666666667,0.0373764517824385,0.0353234591534702,0.1879453621494029,blambda_actual,blf_gp
51,alt_bspline,2,1,25,80.0,10.0,90.0,19,76.0,0.1786082602308167,0.0870660546579676,0.2950695759612767,blambda_actual,blf_gp
51,alt_bspline,2,2,25,80.0,10.0,90.0,18,72.0,0.730608949750515,0.3578695393470862,0.5982219816649053,blambda_actual,blf_gp
51,alt_bspline,2,3,25,80.0,10.0,90.0,18,72.0,0.525738809064044,0.2579522815109074,0.5078900289540123,blambda_actual,blf_gp
52,gp,1,1,15,80.0,10.0,90.0,11,73.33333333333333,0.1862289990095874,0.1907854477946851,0.4367899355464651,lambda_projected_optimum,blf_gp
52,gp,1,2,15,80.0,10.0,90.0,15,100.0,0.020781536390457,0.0196426363689169,0.1401521900254038,lambda_projected_optimum,blf_gp
52,gp,1,3,15,80.0,10.0,90.0,14,93.33333333333331,0.0374883504246772,0.036230528967442,0.190343187341817,lambda_projected_optimum,blf_gp
52,gp,2,1,25,80.0,10.0,90.0,23,92.0,0.2991652482058295,0.1489364508302631,0.385922856060979,lambda_projected_optimum,blf_gp
